code;name;code_system;value_set
275547005;H/O: duodenal ulcer;http://snomed.info/sct;SNOMED-CT
161796007;H/O: dyspareunia;http://snomed.info/sct;SNOMED-CT
161494009;H/O: ear disorder;http://snomed.info/sct;SNOMED-CT
161806007;H/O: eclampsia;http://snomed.info/sct;SNOMED-CT
161763005;H/O: ectopic pregnancy;http://snomed.info/sct;SNOMED-CT
161561009;H/O: eczema;http://snomed.info/sct;SNOMED-CT
275545002;H/O: embolism;http://snomed.info/sct;SNOMED-CT
161479005;H/O: encephalitis;http://snomed.info/sct;SNOMED-CT
266990005;H/O: endocrine disorder;http://snomed.info/sct;SNOMED-CT
161480008;H/O: epilepsy;http://snomed.info/sct;SNOMED-CT
390839009;H/O: facial injury;http://snomed.info/sct;SNOMED-CT
394705009;H/O: febrile convulsions;http://snomed.info/sct;SNOMED-CT
726625000;H/O: first degree perineal laceration;http://snomed.info/sct;SNOMED-CT
391095006;H/O: fracture;http://snomed.info/sct;SNOMED-CT
391092009;H/O: fragility fracture;http://snomed.info/sct;SNOMED-CT
267015005;H/O: full term delivery;http://snomed.info/sct;SNOMED-CT
275550008;H/O: gallbladder disease;http://snomed.info/sct;SNOMED-CT
407637009;H/O: gallstones;http://snomed.info/sct;SNOMED-CT
275548000;H/O: gastric ulcer;http://snomed.info/sct;SNOMED-CT
266997008;H/O: gastrointestinal disease;http://snomed.info/sct;SNOMED-CT
267018007;H/O: genital prolapse;http://snomed.info/sct;SNOMED-CT
161488001;H/O: glaucoma;http://snomed.info/sct;SNOMED-CT
161451004;H/O: gout;http://snomed.info/sct;SNOMED-CT
161524000;H/O: hay fever;http://snomed.info/sct;SNOMED-CT
161587009;H/O: head injury;http://snomed.info/sct;SNOMED-CT
161497002;H/O: hearing problem;http://snomed.info/sct;SNOMED-CT
275544003;H/O: heart disorder;http://snomed.info/sct;SNOMED-CT
161505003;H/O: heart failure;http://snomed.info/sct;SNOMED-CT
309634009;H/O: Heart failure in last year;http://snomed.info/sct;SNOMED-CT
391093004;H/O: hip fracture;http://snomed.info/sct;SNOMED-CT
161501007;H/O: hypertension;http://snomed.info/sct;SNOMED-CT
161442007;H/O: hyperthyroidism;http://snomed.info/sct;SNOMED-CT
161443002;H/O: hypothyroidism;http://snomed.info/sct;SNOMED-CT
161413004;H/O: infectious disease;http://snomed.info/sct;SNOMED-CT
161798008;H/O: infertility - female;http://snomed.info/sct;SNOMED-CT
161556007;H/O: infertility - male;http://snomed.info/sct;SNOMED-CT
161586000;H/O: injury;http://snomed.info/sct;SNOMED-CT
161787007;H/O: inter-menstrual bleeding;http://snomed.info/sct;SNOMED-CT
310479003;H/O: iritis;http://snomed.info/sct;SNOMED-CT
161636001;H/O: isocyanate exposure;http://snomed.info/sct;SNOMED-CT
161536006;H/O: jaundice;http://snomed.info/sct;SNOMED-CT
275552000;H/O: kidney disease;http://snomed.info/sct;SNOMED-CT
161547004;H/O: kidney infection;http://snomed.info/sct;SNOMED-CT
275555003;H/O: knee problem;http://snomed.info/sct;SNOMED-CT
161535005;H/O: liver disease;http://snomed.info/sct;SNOMED-CT
161700006;H/O: machine dependence;http://snomed.info/sct;SNOMED-CT
161554005;H/O: male genital disorder;http://snomed.info/sct;SNOMED-CT
266987004;H/O: malignant neoplasm;http://snomed.info/sct;SNOMED-CT
400998002;H/O: manic depressive disorder;http://snomed.info/sct;SNOMED-CT
161419000;H/O: measles;http://snomed.info/sct;SNOMED-CT
161478002;H/O: meningitis;http://snomed.info/sct;SNOMED-CT
161782001;H/O: menorrhagia;http://snomed.info/sct;SNOMED-CT
161779006;H/O: menstrual disorder;http://snomed.info/sct;SNOMED-CT
266991009;H/O: metabolic disorder;http://snomed.info/sct;SNOMED-CT
161481007;H/O: migraine;http://snomed.info/sct;SNOMED-CT
161744009;H/O: miscarriage;http://snomed.info/sct;SNOMED-CT
161614004;H/O: multiple allergies;http://snomed.info/sct;SNOMED-CT
161420006;H/O: mumps;http://snomed.info/sct;SNOMED-CT
267004000;H/O: musculoskeletal disease;http://snomed.info/sct;SNOMED-CT
161503005;H/O: myocardial infarct at greater than 60;http://snomed.info/sct;SNOMED-CT
161502000;H/O: myocardial infarct at less than 60;http://snomed.info/sct;SNOMED-CT
308065005;H/O: Myocardial infarction in last year;http://snomed.info/sct;SNOMED-CT
275905002;H/O: myocardial problem;http://snomed.info/sct;SNOMED-CT
275542004;H/O: Ménière's disease;http://snomed.info/sct;SNOMED-CT
413141003;H/O: needle stick injury;http://snomed.info/sct;SNOMED-CT
275904003;H/O: neoplasm;http://snomed.info/sct;SNOMED-CT
161546008;H/O: nephritis;http://snomed.info/sct;SNOMED-CT
161611007;H/O: non-drug allergy;http://snomed.info/sct;SNOMED-CT
161449003;H/O: nutritional disorder;http://snomed.info/sct;SNOMED-CT
161453001;H/O: obesity;http://snomed.info/sct;SNOMED-CT
161772002;H/O: oral contraceptive usage;http://snomed.info/sct;SNOMED-CT
161568003;H/O: osteoarthritis;http://snomed.info/sct;SNOMED-CT
275531008;H/O: pacemaker in situ;http://snomed.info/sct;SNOMED-CT
267017002;H/O: pelvic infection;http://snomed.info/sct;SNOMED-CT
266998003;H/O: peptic ulcer;http://snomed.info/sct;SNOMED-CT
161583008;H/O: perinatal convulsion;http://snomed.info/sct;SNOMED-CT
161579008;H/O: perinatal problem;http://snomed.info/sct;SNOMED-CT
161422003;H/O: pertussis;http://snomed.info/sct;SNOMED-CT
413154005;H/O: phlebitis;http://snomed.info/sct;SNOMED-CT
161525004;H/O: pneumonia;http://snomed.info/sct;SNOMED-CT
161528002;H/O: pneumothorax;http://snomed.info/sct;SNOMED-CT
161589007;H/O: poisoning;http://snomed.info/sct;SNOMED-CT
161415006;H/O: poliomyelitis;http://snomed.info/sct;SNOMED-CT
161781008;H/O: polymenorrhea;http://snomed.info/sct;SNOMED-CT
161786003;H/O: postcoital bleeding;http://snomed.info/sct;SNOMED-CT
161788002;H/O: postmenopausal bleeding;http://snomed.info/sct;SNOMED-CT
726623007;H/O: postpartum psychosis;http://snomed.info/sct;SNOMED-CT
271903000;H/O: pregnancy;http://snomed.info/sct;SNOMED-CT
161765003;H/O: premature delivery;http://snomed.info/sct;SNOMED-CT
733899004;H/O: previous baby with fetal growth restriction;http://snomed.info/sct;SNOMED-CT
275907005;H/O: procidentia;http://snomed.info/sct;SNOMED-CT
161810005;H/O: prolonged labor;http://snomed.info/sct;SNOMED-CT
161555006;H/O: prostatism;http://snomed.info/sct;SNOMED-CT
161562002;H/O: psoriasis;http://snomed.info/sct;SNOMED-CT
161464003;H/O: psychiatric disorder;http://snomed.info/sct;SNOMED-CT
161472001;H/O: psychological trauma;http://snomed.info/sct;SNOMED-CT
161512007;H/O: pulmonary embolus;http://snomed.info/sct;SNOMED-CT
161461006;H/O: purpura;http://snomed.info/sct;SNOMED-CT
161633009;H/O: radiation exposure;http://snomed.info/sct;SNOMED-CT
161450003;H/O: raised blood lipids;http://snomed.info/sct;SNOMED-CT
407586004;H/O: recreational drug use;http://snomed.info/sct;SNOMED-CT
161549001;H/O: recurrent cystitis;http://snomed.info/sct;SNOMED-CT
161656000;H/O: regular medication;http://snomed.info/sct;SNOMED-CT
390867000;H/O: repeated overdose;http://snomed.info/sct;SNOMED-CT
161701005;H/O: respirator dependence;http://snomed.info/sct;SNOMED-CT
161523006;H/O: respiratory disease;http://snomed.info/sct;SNOMED-CT
161487006;H/O: retinal detachment;http://snomed.info/sct;SNOMED-CT
161500008;H/O: rheumatic fever;http://snomed.info/sct;SNOMED-CT
161567008;H/O: rheumatoid arthritis;http://snomed.info/sct;SNOMED-CT
161632004;H/O: risk factor;http://snomed.info/sct;SNOMED-CT
161421005;H/O: rubella;http://snomed.info/sct;SNOMED-CT
161417003;H/O: scarlatina;http://snomed.info/sct;SNOMED-CT
161468000;H/O: schizophrenia;http://snomed.info/sct;SNOMED-CT
161807003;H/O: severe pre-eclampsia;http://snomed.info/sct;SNOMED-CT
267003006;H/O: sexual function problem;http://snomed.info/sct;SNOMED-CT
161775000;H/O: sheath usage;http://snomed.info/sct;SNOMED-CT
267005004;H/O: significant knee disorder;http://snomed.info/sct;SNOMED-CT
161560005;H/O: skin disorder;http://snomed.info/sct;SNOMED-CT
726597008;H/O: spontaneous onset of labor;http://snomed.info/sct;SNOMED-CT
161743003;H/O: stillbirth;http://snomed.info/sct;SNOMED-CT
161794005;H/O: stress incontinence;http://snomed.info/sct;SNOMED-CT
308067002;H/O: Stroke in last year;http://snomed.info/sct;SNOMED-CT
266996004;H/O: thromboembolism;http://snomed.info/sct;SNOMED-CT
275546001;H/O: thrombosis;http://snomed.info/sct;SNOMED-CT
275536003;H/O: thyroid disorder;http://snomed.info/sct;SNOMED-CT
308068007;H/O: Treatment for ischemic heart disease;http://snomed.info/sct;SNOMED-CT
161482000;H/O: trigeminal neuralgia;http://snomed.info/sct;SNOMED-CT
161414005;H/O: tuberculosis;http://snomed.info/sct;SNOMED-CT
275549008;H/O: ulcerative colitis;http://snomed.info/sct;SNOMED-CT
161551002;H/O: urethral stricture;http://snomed.info/sct;SNOMED-CT
161576001;H/O: urinary anomaly;http://snomed.info/sct;SNOMED-CT
267002001;H/O: urinary disease;http://snomed.info/sct;SNOMED-CT
161548009;H/O: urinary stone;http://snomed.info/sct;SNOMED-CT
726596004;H/O: uterine inversion;http://snomed.info/sct;SNOMED-CT
161509009;H/O: varicose veins;http://snomed.info/sct;SNOMED-CT
391094005;H/O: vertebral fracture;http://snomed.info/sct;SNOMED-CT
275543009;H/O: vertigo;http://snomed.info/sct;SNOMED-CT
161424002;H/O: viral illness;http://snomed.info/sct;SNOMED-CT
161490000;H/O: visual disturbance;http://snomed.info/sct;SNOMED-CT
275553005;H/O:male sex function problem;http://snomed.info/sct;SNOMED-CT
275571003;H/O:sexual problem - female;http://snomed.info/sct;SNOMED-CT
270891002;Had a collapse;http://snomed.info/sct;SNOMED-CT
228393009;Has never injected drugs;http://snomed.info/sct;SNOMED-CT
228368007;Has never misused drugs;http://snomed.info/sct;SNOMED-CT
439720003;Has never shared drug injection equipment;http://snomed.info/sct;SNOMED-CT
161638000;Hepatitis B Occupational risk;http://snomed.info/sct;SNOMED-CT
439956007;History of abnormal cervical Papanicolaou smear;http://snomed.info/sct;SNOMED-CT
313214000;History of abuse;http://snomed.info/sct;SNOMED-CT
1,69E+21;History of acalculous cholecystitis;http://snomed.info/sct;SNOMED-CT
1,38381E+14;History of acoustic neuroma;http://snomed.info/sct;SNOMED-CT
6,90711E+14;History of acquired spondylolisthesis;http://snomed.info/sct;SNOMED-CT
4,8811E+13;History of acromegaly;http://snomed.info/sct;SNOMED-CT
1,361E+12;History of actinic keratosis;http://snomed.info/sct;SNOMED-CT
473114006;History of active tuberculosis;http://snomed.info/sct;SNOMED-CT
1,57533E+17;History of acute angle closure glaucoma;http://snomed.info/sct;SNOMED-CT
1,63609E+16;History of acute febrile mucocutaneous lymph node syndrome;http://snomed.info/sct;SNOMED-CT
4,00347E+17;History of acute leukemia;http://snomed.info/sct;SNOMED-CT
472959005;History of acute lower respiratory tract infection;http://snomed.info/sct;SNOMED-CT
6,76113E+17;History of acute lymphoid leukemia;http://snomed.info/sct;SNOMED-CT
7,9081E+13;History of acute myeloid leukemia;http://snomed.info/sct;SNOMED-CT
1,37971E+14;History of acute renal failure;http://snomed.info/sct;SNOMED-CT
1,67751E+16;History of acute respiratory failure;http://snomed.info/sct;SNOMED-CT
2,85721E+14;History of acute ST segment elevation myocardial infarction;http://snomed.info/sct;SNOMED-CT
429047008;History of adenomatous polyp of colon;http://snomed.info/sct;SNOMED-CT
6,91201E+14;History of adrenal adenoma;http://snomed.info/sct;SNOMED-CT
1,60935E+16;History of adult obesity;http://snomed.info/sct;SNOMED-CT
9,4671E+13;History of adult respiratory distress syndrome;http://snomed.info/sct;SNOMED-CT
414371008;History of agoraphobia;http://snomed.info/sct;SNOMED-CT
371434005;History of alcohol abuse;http://snomed.info/sct;SNOMED-CT
1,141E+12;History of alcohol withdrawal syndrome;http://snomed.info/sct;SNOMED-CT
1,69121E+16;History of alcoholic hepatitis;http://snomed.info/sct;SNOMED-CT
1,30164E+16;History of amaurosis fugax;http://snomed.info/sct;SNOMED-CT
1,66881E+16;History of anal intraepithelial neoplasia III;http://snomed.info/sct;SNOMED-CT
1,08394E+16;History of anaphylaxis;http://snomed.info/sct;SNOMED-CT
275538002;History of anemia;http://snomed.info/sct;SNOMED-CT
161457000;History of anemia vitamin B12 deficient;http://snomed.info/sct;SNOMED-CT
397942001;History of anesthesia problem;http://snomed.info/sct;SNOMED-CT
432250006;History of aneurysm;http://snomed.info/sct;SNOMED-CT
789474004;History of aneurysm of artery of trunk;http://snomed.info/sct;SNOMED-CT
433845004;History of aneurysm of iliac artery;http://snomed.info/sct;SNOMED-CT
789475003;History of aneurysm of peripheral artery;http://snomed.info/sct;SNOMED-CT
1,65427E+16;History of anoxic brain injury;http://snomed.info/sct;SNOMED-CT
161804005;History of antepartum hemorrhage;http://snomed.info/sct;SNOMED-CT
1,61E+21;History of anterior ischemic optic neuropathy;http://snomed.info/sct;SNOMED-CT
440700005;History of aortoiliac atherosclerosis;http://snomed.info/sct;SNOMED-CT
429208004;History of aplastic anemia;http://snomed.info/sct;SNOMED-CT
1,68333E+16;History of arterial thrombosis;http://snomed.info/sct;SNOMED-CT
472975008;History of arteritis;http://snomed.info/sct;SNOMED-CT
1,08243E+16;History of artery embolism;http://snomed.info/sct;SNOMED-CT
1,54081E+14;History of aspiration pneumonia;http://snomed.info/sct;SNOMED-CT
429258006;History of aspirin exacerbated respiratory disease;http://snomed.info/sct;SNOMED-CT
7,3831E+13;History of astrocytoma of brain;http://snomed.info/sct;SNOMED-CT
432218001;History of asymptomatic human immunodeficiency virus infection;http://snomed.info/sct;SNOMED-CT
428448003;History of atopy;http://snomed.info/sct;SNOMED-CT
428076002;History of atrial flutter;http://snomed.info/sct;SNOMED-CT
3,28001E+14;History of atrial myxoma;http://snomed.info/sct;SNOMED-CT
473390005;History of attempted weight loss;http://snomed.info/sct;SNOMED-CT
2,8271E+13;History of attention deficit hyperactivity disorder;http://snomed.info/sct;SNOMED-CT
1,43491E+14;History of atypical hyperplasia of breast;http://snomed.info/sct;SNOMED-CT
1,351E+12;History of atypical nevus;http://snomed.info/sct;SNOMED-CT
472968007;History of autoimmune disorder of endocrine system;http://snomed.info/sct;SNOMED-CT
429217004;History of autoimmune hemolytic anemia;http://snomed.info/sct;SNOMED-CT
699032000;History of awareness under general anesthesia;http://snomed.info/sct;SNOMED-CT
427846005;History of B-cell lymphoma;http://snomed.info/sct;SNOMED-CT
1,19981E+14;History of bacterial infection;http://snomed.info/sct;SNOMED-CT
1,60936E+16;History of Barrett's esophagus;http://snomed.info/sct;SNOMED-CT
6,9411E+13;History of basal cell carcinoma of eyelid;http://snomed.info/sct;SNOMED-CT
161473006;History of behavior problem;http://snomed.info/sct;SNOMED-CT
2,88391E+14;History of being a victim of child physical abuse;http://snomed.info/sct;SNOMED-CT
772993004;History of being in foster care;http://snomed.info/sct;SNOMED-CT
161769009;History of being infant bottle fed;http://snomed.info/sct;SNOMED-CT
1,34481E+14;History of being under immunized;http://snomed.info/sct;SNOMED-CT
2,88371E+14;History of being victim of child abuse;http://snomed.info/sct;SNOMED-CT
161483005;History of Bell's palsy;http://snomed.info/sct;SNOMED-CT
1,10031E+16;History of benign carcinoid neoplasm;http://snomed.info/sct;SNOMED-CT
5,9651E+13;History of benign carcinoid neoplasm of gastrointestinal tract;http://snomed.info/sct;SNOMED-CT
3,47941E+14;History of benign meningioma of brain;http://snomed.info/sct;SNOMED-CT
1,09938E+15;History of benign neoplasm of bone;http://snomed.info/sct;SNOMED-CT
428323002;History of benign neoplasm of brain;http://snomed.info/sct;SNOMED-CT
1,22421E+14;History of benign neoplasm of larynx;http://snomed.info/sct;SNOMED-CT
1,07434E+16;History of benign neoplasm of salivary gland;http://snomed.info/sct;SNOMED-CT
1,56478E+16;History of benign neoplasm of small intestine;http://snomed.info/sct;SNOMED-CT
1,44101E+14;History of benign neoplasm of spinal cord;http://snomed.info/sct;SNOMED-CT
1,60948E+16;History of benign phyllodes neoplasm of breast;http://snomed.info/sct;SNOMED-CT
